al = 114
99400,0.900000,-0.428571, x val = 139, y val = 114
99416,0.900000,-0.428571, x val = 139, y val = 114
99431,0.900000,-0.428571, x val = 139, y val = 114
99446,0.900000,-0.428571, x val = 139, y val = 114
99462,0.900000,-0.428571, x val = 139, y val = 114
99477,0.900000,-0.428571, x val = 139, y val = 114
99492,0.900000,-0.428571, x val = 139, y val = 114
99508,0.900000,-0.428571, x val = 139, y val = 114
99523,0.900000,-0.476190, x val = 139, y val = 113
99538,0.900000,-0.476190, x val = 139, y val = 113
99554,0.900000,-0.476190, x val = 139, y val = 113
99569,0.900000,-0.476190, x val = 139, y val = 113
99584,0.900000,-0.476190, x val = 139, y val = 113
99600,0.900000,-0.476190, x val = 139, y val = 113
99615,0.900000,-0.476190, x val = 139, y val = 113
99630,0.900000,-0.476190, x val = 139, y val = 113
99646,0.900000,-0.476190, x val = 139, y val = 113
99661,0.900000,-0.523810, x val = 139, y val = 112
99676,0.900000,-0.523810, x val = 139, y val = 112
99691,0.900000,-0.571429, x val = 139, y val = 111
99706,0.900000,-0.619048, x val = 139, y val = 110
99721,0.900000,-0.666667, x val = 139, y val = 109
99737,0.900000,-0.666667, x val = 139, y val = 109
99752,0.880000,-0.714286, x val = 138, y val = 108
99767,0.880000,-0.761905, x val = 138, y val = 107
99782,0.880000,-0.809524, x val = 138, y val = 106
99797,0.880000,-0.857143, x val = 138, y val = 105
99812,0.880000,-0.857143, x val = 138, y val = 105
99828,0.880000,-0.904762, x val = 138, y val = 104
99843,0.880000,-0.904762, x val = 138, y val = 104
99858,0.880000,-0.952381, x val = 138, y val = 103
99873,0.880000,-0.952381, x val = 138, y val = 103
99888,0.880000,-0.952381, x val = 138, y val = 103
99903,0.880000,-0.952381, x val = 138, y val = 103
99918,0.880000,-0.952381, x val = 138, y val = 103
99933,0.880000,-1.000000, x val = 138, y val = 102
99948,0.880000,-1.000000, x val = 138, y val = 102
99963,0.880000,-1.000000, x val = 138, y val = 102
99978,0.880000,-1.000000, x val = 138, y val = 102
99993,0.880000,-1.000000, x val = 138, y val = 102
100008,0.880000,-1.000000, x val = 138, y val = 102
100024,0.880000,-1.000000, x val = 138, y val = 102
100040,0.880000,-1.000000, x val = 138, y val = 102
100056,0.880000,-1.000000, x val = 138, y val = 102
100072,0.880000,-1.000000, x val = 138, y val = 102
100088,0.880000,-1.000000, x val = 138, y val = 102
100104,0.880000,-1.000000, x val = 138, y val = 101
100120,0.880000,-1.000000, x val = 138, y val = 101
100136,0.880000,-1.000000, x val = 138, y val = 101
100152,0.880000,-1.000000, x val = 138, y val = 101
100168,0.860000,-1.000000, x val = 137, y val = 101
100184,0.860000,-1.000000, x val = 137, y val = 101
100200,0.840000,-1.000000, x val = 136, y val = 101
100216,0.840000,-1.000000, x val = 136, y val = 101
100232,0.840000,-1.000000, x val = 136, y val = 101
100248,0.840000,-1.000000, x val = 136, y val = 100
100264,0.840000,-1.000000, x val = 136, y val = 100
100280,0.820000,-1.000000, x val = 135, y val = 100
100296,0.820000,-1.000000, x val = 135, y val = 100
100312,0.820000,-1.000000, x val = 135, y val = 100
100328,0.820000,-1.000000, x val = 135, y val = 100
100344,0.800000,-1.000000, x val = 134, y val = 100
100360,0.800000,-1.000000, x val = 134, y val = 100
100376,0.780000,-1.000000, x val = 133, y val = 100
100392,0.780000,-1.000000, x val = 133, y val = 100
100408,0.760000,-1.000000, x val = 132, y val = 100
100424,0.760000,-1.000000, x val = 132, y val = 100
100440,0.760000,-1.000000, x val = 132, y val = 100
100456,0.760000,-1.000000, x val = 132, y val = 100
100472,0.760000,-1.000000, x val = 132, y val = 100
100488,0.740000,-1.000000, x val = 131, y val = 100
100504,0.740000,-1.000000, x val = 131, y val = 100
100520,0.740000,-1.000000, x val = 131, y val = 100
100536,0.720000,-1.000000, x val = 130, y val = 100
100552,0.720000,-1.000000, x val = 130, y val = 100
100568,0.700000,-1.000000, x val = 129, y val = 99
100583,0.700000,-1.000000, x val = 129, y val = 99
100598,0.680000,-1.000000, x val = 128, y val = 99
100613,0.680000,-1.000000, x val = 128, y val = 99
100628,0.680000,-1.000000, x val = 128, y val = 99
100643,0.680000,-1.000000, x val = 128, y val = 99
100658,0.680000,-1.000000, x val = 128, y val = 99
100673,-0.620000,-1.000000, x val = 63, y val = 99
100688,-0.620000,-1.000000, x val = 63, y val = 99
100703,-0.620000,-1.000000, x val = 63, y val = 99
100718,-0.620000,-1.000000, x val = 63, y val = 99
100733,-0.620000,-1.000000, x val = 63, y val = 99
100748,-0.640000,-1.000000, x val = 62, y val = 99
100763,-0.640000,-1.000000, x val = 62, y val = 99
100778,-0.640000,-1.000000, x val = 62, y val = 99
100793,-0.640000,-1.000000, x val = 62, y val = 99
100808,-0.640000,-1.000000, x val = 62, y val = 99
100823,-0.660000,-1.000000, x val = 61, y val = 99
100838,-0.660000,-1.000000, x val = 61, y val = 99
100853,-0.660000,-1.000000, x val = 61, y val = 99
100868,-0.660000,-1.000000, x val = 61, y val = 99
100883,-0.660000,-1.000000, x val = 61, y val = 99
100898,-0.660000,-1.000000, x val = 61, y val = 99
100913,-0.660000,-0.955556, x val = 61, y val = 100
100929,-0.660000,-0.955556, x val = 61, y val = 100
100945,-0.680000,-0.955556, x val = 60, y val = 100
100961,-0.680000,-0.955556, x val = 60, y val = 100
100977,-0.680000,-0.955556, x val = 60, y val = 100
100993,-0.700000,-0.955556, x val = 59, y val = 100
101009,-0.720000,-0.955556, x val = 58, y val = 100
101025,-0.720000,-0.955556, x val = 58, y val = 100
101041,-0.740000,-0.955556, x val = 57, y val = 100
101057,-0.760000,-0.955556, x val = 56, y val = 100
101073,-0.780000,-0.955556, x val = 55, y val = 100
101089,-0.800000,-0.955556, x val = 54, y val = 100
101105,-0.820000,-0.955556, x val = 53, y val = 100
101121,-0.840000,-0.955556, x val = 52, y val = 100
101137,-0.880000,-0.955556, x val = 50, y val = 100
101153,-0.920000,-0.955556, x val = 48, y val = 100
101169,-0.920000,-0.955556, x val = 48, y val = 100
101185,-0.920000,-0.955556, x val = 48, y val = 100
101201,-0.940000,-0.955556, x val = 47, y val = 100
101217,-0.940000,-0.955556, x val = 47, y val = 100
101233,-0.940000,-0.955556, x val = 47, y val = 100
101249,-0.940000,-0.955556, x val = 47, y val = 100
101265,-0.960000,-0.955556, x val = 46, y val = 100
101281,-0.960000,-0.955556, x val = 46, y val = 100
101297,-0.960000,-0.955556, x val = 46, y val = 100
101313,-0.960000,-0.955556, x val = 46, y val = 100
101329,-0.960000,-0.955556, x val = 46, y val = 100
101345,-0.960000,-0.955556, x val = 46, y val = 100
101361,-0.960000,-0.955556, x val = 46, y val = 100
101377,-0.980000,-0.955556, x val = 45, y val = 100
101393,-0.980000,-0.955556, x val = 45, y val = 100
101409,-0.980000,-0.955556, x val = 45, y val = 100
101425,-0.980000,-0.955556, x val = 45, y val = 100
101441,-0.980000,-0.955556, x val = 45, y val = 100
101457,-0.980000,-0.955556, x val = 45, y val = 100
101473,-0.980000,-0.955556, x val = 45, y val = 100
101489,-0.980000,-0.955556, x val = 45, y val = 100
101505,-0.980000,-0.955556, x val = 45, y val = 100
101521,-0.980000,-0.911111, x val = 45, y val = 101
101537,-0.980000,-0.911111, x val = 45, y val = 101
101553,-0.980000,-0.911111, x val = 45, y val = 101
101569,-0.980000,-0.866667, x val = 45, y val = 102
101585,-0.980000,-0.866667, x val = 45, y val = 102
101601,-0.980000,-0.866667, x val = 45, y val = 102
101617,-0.980000,-0.822222, x val = 45, y val = 103
101633,-0.980000,-0.777778, x val = 45, y val = 104
101649,-1.000000,-0.733333, x val = 44, y val = 105
101665,-1.000000,-0.688889, x val = 44, y val = 106
101681,-1.000000,-0.600000, x val = 43, y val = 108
101697,-1.000000,-0.555556, x val = 43, y val = 109
101713,-1.000000,-0.466667, x val = 43, y val = 111
101729,-1.000000,-0.377778, x val = 42, y val = 113
101745,-1.000000,-0.333333, x val = 42, y val = 114
101761,-1.000000,-0.288889, x val = 42, y val = 115
101777,-1.000000,-0.288889, x val = 42, y val = 115
101793,-1.000000,-0.244444, x val = 42, y val = 116
101809,-1.000000,-0.244444, x val = 42, y val = 116
101825,-1.000000,-0.244444, x val = 42, y val = 116
101841,-1.000000,-0.244444, x val = 42, y val = 116
101857,-1.000000,-0.244444, x val = 42, y val = 116
101873,-1.000000,-0.244444, x val = 42, y val = 116
101889,-1.000000,-0.244444, x val = 42, y val = 116
101905,-1.000000,-0.244444, x val = 42, y val = 116
101921,-1.000000,-0.244444, x val = 42, y val = 116
101937,-1.000000,-0.244444, x val = 42, y val = 116
101953,-1.000000,-0.244444, x val = 42, y val = 116
101969,-1.000000,-0.244444, x val = 42, y val = 116
101985,-1.000000,-0.200000, x val = 42, y val = 117
102001,-1.000000,-0.200000, x val = 42, y val = 117
102017,-1.000000,-0.155556, x val = 42, y val = 118
102033,-0.980392,-0.111111, x val = 43, y val = 119
102049,-0.980392,-0.066667, x val = 43, y val = 120
102065,-0.980392,-0.066667, x val = 43, y val = 120
102081,-0.980392,-0.066667, x val = 43, y val = 120
102097,-0.980392,-0.066667, x val = 43, y val = 120
102113,-0.980392,-0.066667, x val = 43, y val = 120
102129,-0.980392,-0.022222, x val = 43, y val = 121
102145,-0.980392,-0.022222, x val = 43, y val = 121
102161,-0.980392,-0.022222, x val = 43, y val = 121
102177,-0.960784,-0.022222, x val = 44, y val = 121
102193,-0.960784,0.022222, x val = 44, y val = 122
102208,-0.960784,0.022222, x val = 44, y val = 122
102223,-0.960784,0.111111, x val = 44, y val = 124
102239,-0.960784,0.155556, x val = 44, y val = 125
102254,-0.960784,0.200000, x val = 44, y val = 126
102269,-0.941176,0.288889, x val = 45, y val = 128
102285,-0.941176,0.288889, x val = 45, y val = 128
102300,-0.941176,0.288889, x val = 45, y val = 128
102315,-0.941176,0.288889, x val = 45, y val = 128
102331,-0.941176,0.288889, x val = 45, y val = 128
102346,-0.941176,0.288889, x val = 45, y val = 128
102361,-0.941176,0.288889, x val = 45, y val = 128
102377,-0.941176,0.288889, x val = 45, y val = 128
102392,-0.941176,0.288889, x val = 45, y val = 128
102407,-0.941176,0.288889, x val = 45, y val = 128
102423,-0.921569,0.288889, x val = 46, y val = 128
102438,-0.921569,0.288889, x val = 46, y val = 128
102453,-0.921569,0.333333, x val = 46, y val = 129
102469,-0.921569,0.333333, x val = 46, y val = 129
102484,-0.921569,0.333333, x val = 46, y val = 129
102499,-0.921569,0.333333, x val = 46, y val = 129
102515,-0.901961,0.333333, x val = 47, y val = 129
102530,-0.901961,0.333333, x val = 47, y val = 129
102545,-0.901961,0.333333, x val = 47, y val = 129
102560,-0.901961,0.333333, x val = 47, y val = 129
102575,-0.901961,0.333333, x val = 47, y val = 129
102590,-0.901961,0.333333, x val = 47, y val = 129
102605,-0.901961,0.333333, x val = 47, y val = 129
102620,-0.901961,0.333333, x val = 47, y val = 129
102635,-0.882353,0.333333, x val = 48, y val = 129
102651,-0.882353,0.333333, x val = 48, y val = 129
102666,-0.882353,0.333333, x val = 48, y val = 129
